# Time[s], Position[m]
3.670,0.434
3.680,0.540
3.690,0.163
3.700,0.432
3.710,0.464
3.720,0.507
3.730,0.446
3.740,0.394
3.750,0.433
3.760,0.417
3.770,0.456
3.780,0.401
3.790,0.596
3.800,0.574
3.810,0.321
3.820,0.483
3.830,0.447
3.840,0.535
3.850,0.513
3.860,0.314
3.870,0.581
3.880,0.188
3.890,0.355
3.900,0.559
3.910,0.514
3.920,0.554
3.930,0.392
3.940,0.398
3.950,0.498
3.960,0.434
3.970,0.315
3.980,0.495
3.990,0.537
4.000,0.499
4.010,0.365
4.020,0.526
4.030,0.538
4.040,0.402
4.050,0.477
4.060,0.429
4.070,0.474
4.080,0.508
4.090,0.586
4.100,0.498
4.110,0.616
4.120,0.555
4.130,0.519
4.140,0.543
4.150,0.503
4.160,0.456
4.170,0.371
4.180,0.577
4.190,0.529
4.200,0.443
4.210,0.199
4.220,0.568
4.230,0.607
4.240,0.459
4.250,0.394
4.260,0.494
4.270,0.403
4.280,0.390
4.290,0.500
4.300,0.584
4.310,0.537
4.320,0.481
4.330,0.660
4.340,0.633
4.350,0.664
4.360,0.408
4.370,0.435
4.380,0.746
4.390,0.752
4.400,0.621
4.410,0.557
4.420,0.495
4.430,0.663
4.440,0.516
4.450,0.663
4.460,0.378
4.470,0.481
4.480,0.596
4.490,0.544
4.500,0.393
4.510,0.425
4.520,0.731
4.530,0.525
4.540,0.565
4.550,0.645
4.560,0.488
4.570,0.442
4.580,0.525
4.590,0.398
4.600,0.531
4.610,0.703
4.620,0.498
4.630,0.628
4.640,0.488
4.650,0.590
4.660,0.573
4.670,0.710
4.680,0.653
4.690,0.434
4.700,0.638
4.710,0.579
4.720,0.594
4.730,0.539
4.740,0.673
4.750,0.658
4.760,0.503
4.770,0.488
4.780,0.732
4.790,0.674
4.800,0.413
4.810,0.553
4.820,0.531
4.830,0.746
4.840,0.504
4.850,0.552
4.860,0.448
4.870,0.727
4.880,0.703
4.890,0.640
4.900,0.538
4.910,0.562
4.920,0.593
4.930,0.442
4.940,0.514
4.950,0.602
4.960,0.682
4.970,0.560
4.980,0.617
4.990,0.451
5.000,0.555
5.010,0.690
5.020,0.495
5.030,0.461
5.040,0.560
5.050,0.529
5.060,0.680
5.070,0.682
5.080,0.551
5.090,0.545
5.100,0.613
5.110,0.485
5.120,0.524
5.130,0.859
5.140,0.572
5.150,0.571
5.160,0.483
5.170,0.536
5.180,0.597
5.190,0.572
5.200,0.631
5.210,0.625
5.220,0.573
5.230,0.595
5.240,0.582
5.250,0.454
5.260,0.573
5.270,0.614
5.280,0.555
5.290,0.469
5.300,0.596
5.310,0.666
5.320,0.624
5.330,0.575
5.340,0.568
5.350,0.708
5.360,0.453
5.370,0.771
5.380,0.648
5.390,0.585
5.400,0.621
5.410,0.700
5.420,0.712
5.430,0.604
5.440,0.644
5.450,0.635
5.460,0.513
5.470,0.582
5.480,0.664
5.490,0.775
5.500,0.731
5.510,0.671
5.520,0.552
5.530,0.810
5.540,0.713
5.550,0.524
5.560,0.590
5.570,0.685
5.580,0.800
5.590,0.574
5.600,0.587
5.610,0.708
5.620,0.609
5.630,0.648
5.640,0.741
5.650,0.599
5.660,0.645
5.670,0.509
5.680,0.621
5.690,0.691
5.700,0.725
5.710,0.578
5.720,0.613
5.730,0.507
5.740,0.634
5.750,0.654
5.760,0.465
5.770,0.407
5.780,0.626
5.790,0.681
5.800,0.699
5.810,0.796
5.820,0.808
5.830,0.707
5.840,0.587
5.850,0.682
5.860,0.503
5.870,0.650
5.880,0.803
5.890,0.637
5.900,0.725
5.910,0.656
5.920,0.885
5.930,0.541
5.940,0.696
5.950,0.611
5.960,0.569
5.970,0.624
5.980,0.835
5.990,0.743
6.000,0.700
6.010,0.613
6.020,0.817
6.030,0.790
6.040,0.536
6.050,0.735
6.060,0.404
6.070,0.802
6.080,0.746
6.090,0.779
6.100,0.590
6.110,0.755
6.120,0.482
6.130,0.675
6.140,0.701
6.150,0.876
6.160,0.744
6.170,0.699
6.180,0.798
6.190,0.864
6.200,0.510
6.210,0.625
6.220,0.734
6.230,0.727
6.240,0.724
6.250,0.574
6.260,0.672
6.270,0.767
6.280,0.670
6.290,0.782
6.300,0.526
6.310,0.692
6.320,0.605
6.330,0.815
6.340,0.670
6.350,0.683
6.360,0.778
6.370,0.815
6.380,0.747
6.390,0.575
6.400,0.592
6.410,0.546
6.420,0.685
6.430,0.807
6.440,0.841
6.450,0.778
6.460,0.818
6.470,0.596
6.480,0.820
6.490,0.884
6.500,0.629
6.510,0.660
6.520,0.615
6.530,0.701
6.540,0.760
6.550,0.778
6.560,0.528
6.570,0.785
6.580,0.795
6.590,0.780
6.600,0.790
6.610,0.812
6.620,0.652
6.630,0.695
6.640,0.886
6.650,0.727
6.660,0.732
6.670,0.704
6.680,0.762
6.690,0.813
6.700,0.828
6.710,0.930
6.720,0.699
6.730,0.875
6.740,0.887
6.750,0.740
6.760,0.799
6.770,0.817
6.780,0.747
6.790,0.874
6.800,0.703
6.810,0.701
6.820,0.971
6.830,0.681
6.840,0.773
6.850,0.695
6.860,0.804
6.870,0.836
6.880,0.753
6.890,0.790
6.900,0.761
6.910,0.757
6.920,0.836
6.930,0.793
6.940,0.922
6.950,0.826
6.960,0.816
6.970,0.904
6.980,0.843
6.990,0.790
7.000,0.638
7.010,0.802
7.020,0.781
7.030,0.785
7.040,0.619
7.050,0.693
7.060,0.675
7.070,0.766
7.080,0.805
7.090,0.964
7.100,0.815
7.110,0.640
7.120,0.852
7.130,0.904
7.140,0.786
7.150,0.838
7.160,0.826
7.170,0.820
7.180,0.803
7.190,0.822
7.200,0.865
7.210,0.824
7.220,0.821
7.230,0.871
7.240,0.867
7.250,0.705
7.260,0.788
7.270,0.856
7.280,0.683
7.290,0.847
7.300,0.796
7.310,0.654
7.320,0.816
7.330,0.985
7.340,0.879
7.350,0.656
7.360,0.886
7.370,0.709
7.380,0.715
7.390,0.786
7.400,0.609
7.410,0.758
7.420,0.778
7.430,0.853
7.440,0.832
7.450,0.634
7.460,0.840
7.470,0.877
7.480,0.911
7.490,0.766
7.500,0.698
7.510,0.897
7.520,0.899
7.530,0.772
7.540,0.752
7.550,0.825
7.560,0.995
7.570,0.889
7.580,0.821
7.590,1.066
7.600,0.671
7.610,0.703
7.620,0.878
7.630,0.725
7.640,0.827
7.650,0.816
7.660,0.827
7.670,0.644
7.680,0.955
7.690,0.778
7.700,0.805
7.710,0.729
7.720,0.715
7.730,0.905
7.740,0.779
7.750,0.836
7.760,0.777
7.770,0.936
7.780,0.671
7.790,0.813
7.800,0.728
7.810,1.047
7.820,0.784
7.830,0.976
7.840,0.682
7.850,0.954
7.860,0.653
7.870,0.933
7.880,0.732
7.890,0.935
7.900,0.867
7.910,0.852
7.920,0.920
7.930,0.772
7.940,0.810
7.950,1.008
7.960,0.616
7.970,1.129
7.980,0.790
7.990,0.668
8.000,0.740
8.010,0.984
8.020,0.645
8.030,1.023
8.040,0.862
8.050,0.861
8.060,0.952
8.070,0.737
8.080,1.000
8.090,0.841
8.100,0.794
8.110,0.852
8.120,0.805
8.130,0.877
8.140,0.925
8.150,0.864
8.160,1.007
8.170,0.885
8.180,0.582
8.190,0.759
8.200,1.036
8.210,0.809
8.220,0.851
8.230,1.008
8.240,0.836
8.250,0.677
8.260,0.816
8.270,0.819
8.280,0.845
8.290,0.970
8.300,0.778
8.310,0.829
8.320,1.020
8.330,0.801
8.340,0.764
8.350,0.958
8.360,0.882
8.370,1.006
8.380,0.848
8.390,0.729
8.400,0.830
8.410,0.976
8.420,0.823
8.430,0.679
8.440,0.879
8.450,0.962
8.460,0.853
8.470,0.745
8.480,0.912
8.490,0.875
8.500,0.806
8.510,0.677
8.520,0.853
8.530,0.829
8.540,0.999
8.550,0.877
8.560,0.954
8.570,0.841
8.580,1.090
8.590,0.957
8.600,0.737
8.610,1.021
8.620,0.884
8.630,0.957
8.640,0.985
8.650,0.732
8.660,0.902
8.670,0.925
8.680,1.068
8.690,0.811
8.700,0.864
8.710,0.812
8.720,0.943
8.730,1.060
8.740,0.777
8.750,0.807
8.760,0.869
8.770,0.965
8.780,0.883
8.790,1.017
8.800,0.982
8.810,0.829
8.820,0.729
8.830,0.922
8.840,0.910
8.850,0.857
8.860,0.760
8.870,0.802
8.880,0.813
8.890,0.873
8.900,1.115
8.910,0.840
8.920,0.972
8.930,0.951
8.940,0.967
8.950,0.926
8.960,1.013
8.970,0.887
8.980,1.034
8.990,0.989
9.000,0.797
9.010,0.963
9.020,0.993
9.030,0.787
9.040,1.036
9.050,0.985
9.060,0.958
9.070,1.094
9.080,0.970
9.090,0.948
9.100,0.969
9.110,0.944
9.120,0.754
9.130,0.789
9.140,0.709
9.150,0.858
9.160,0.907
9.170,1.008
9.180,0.918
9.190,1.003
9.200,0.917
9.210,1.016
9.220,0.967
9.230,0.858
9.240,0.875
9.250,0.902
9.260,0.844
9.270,0.985
9.280,0.883
9.290,0.978
9.300,1.076
9.310,0.992
9.320,0.720
9.330,0.998
9.340,0.994
9.350,0.971
9.360,0.871
9.370,0.981
9.380,1.061
9.390,1.003
9.400,1.100
9.410,0.821
9.420,0.789
9.430,0.837
9.440,0.884
9.450,0.985
9.460,1.032
9.470,0.912
9.480,0.908
9.490,0.705
9.500,0.873
9.510,1.023
9.520,0.984
9.530,0.982
9.540,1.023
9.550,1.003
9.560,1.003
9.570,1.200
9.580,0.980
9.590,0.908
9.600,1.102
9.610,0.828
9.620,0.947
9.630,0.847
9.640,0.929
9.650,0.989
9.660,0.904
9.670,0.749
9.680,0.845
9.690,0.816
9.700,0.943
9.710,0.959
9.720,0.871
9.730,0.971
9.740,1.004
9.750,0.903
9.760,1.046
9.770,0.915
9.780,0.797
9.790,0.851
9.800,0.968
9.810,0.821
9.820,1.053
9.830,1.086
9.840,0.754
9.850,1.064
9.860,0.927
9.870,0.920
9.880,0.954
9.890,0.887
9.900,1.016
9.910,1.054
9.920,1.096
9.930,1.045
9.940,0.830
9.950,0.818
9.960,0.934
9.970,0.886
9.980,0.954
9.990,1.001
10.000,1.114
10.010,0.976
10.020,0.663
10.030,1.089
10.040,0.998
10.050,0.910
10.060,0.962
10.070,1.049
10.080,0.847
10.090,1.073
10.100,1.073
10.110,0.961
10.120,1.091
10.130,1.036
10.140,0.945
10.150,1.168
10.160,0.995
10.170,0.804
10.180,1.092
10.190,0.845
10.200,0.812
10.210,0.966
10.220,0.842
10.230,0.815
10.240,0.674
10.250,0.914
10.260,0.868
10.270,0.970
10.280,0.854
10.290,0.939
10.300,0.965
10.310,0.957
10.320,1.140
10.330,0.937
10.340,0.993
10.350,1.093
10.360,0.917
10.370,1.230
10.380,0.786
10.390,0.807
10.400,0.800
10.410,0.962
10.420,0.909
10.430,0.998
10.440,0.958
10.450,1.030
10.460,1.034
10.470,0.983
10.480,0.980
10.490,0.790
10.500,1.079
10.510,0.895
10.520,0.853
10.530,0.997
10.540,1.046
10.550,1.116
10.560,0.925
10.570,1.023
10.580,0.903
10.590,1.015
10.600,0.961
10.610,0.932
10.620,1.050
10.630,0.914
10.640,1.084
10.650,0.945
10.660,0.944
10.670,0.897
10.680,0.830
10.690,0.957
10.700,1.084
10.710,0.969
10.720,0.775
10.730,0.978
10.740,0.820
10.750,0.953
10.760,0.969
10.770,1.002
10.780,0.953
10.790,1.018
10.800,0.973
10.810,0.964
10.820,0.823
10.830,0.943
10.840,0.848
10.850,1.052
10.860,0.952
10.870,0.903
10.880,1.041
10.890,0.983
10.900,0.866
10.910,0.971
10.920,0.964
10.930,1.007
10.940,1.046
10.950,1.085
10.960,0.979
10.970,1.111
10.980,0.974
10.990,1.003
11.000,1.156
11.010,0.937
11.020,1.043
11.030,0.854
11.040,1.019
11.050,0.940
11.060,0.978
11.070,0.996
11.080,0.980
11.090,1.183
11.100,0.962
11.110,1.097
11.120,1.025
11.130,0.897
11.140,1.019
11.150,0.890
11.160,0.969
11.170,1.094
11.180,0.968
11.190,0.948
11.200,0.948
11.210,0.741
11.220,0.843
11.230,1.057
11.240,0.977
11.250,1.017
11.260,0.856
11.270,0.949
11.280,1.082
11.290,0.859
11.300,0.891
11.310,0.942
11.320,1.165
11.330,0.879
11.340,0.985
11.350,0.829
11.360,1.042
11.370,0.966
11.380,0.995
11.390,1.122
11.400,0.765
11.410,0.949
11.420,1.008
11.430,1.104
11.440,0.972
11.450,1.047
11.460,0.880
11.470,1.244
11.480,1.080
11.490,0.957
11.500,0.942
11.510,1.101
11.520,1.005
11.530,0.980
11.540,0.865
11.550,0.825
11.560,0.934
11.570,1.096
11.580,0.613
11.590,1.052
11.600,1.031
11.610,0.845
11.620,0.932
11.630,0.847
11.640,1.022
11.650,1.001
11.660,1.078
11.670,0.916
11.680,0.965
11.690,1.075
11.700,1.002
11.710,1.016
11.720,1.144
11.730,0.965
11.740,0.979
11.750,0.883
11.760,1.175
11.770,0.808
11.780,1.046
11.790,0.881
11.800,1.213
11.810,0.848
11.820,1.065
11.830,0.883
11.840,0.801
11.850,1.104
11.860,0.958
11.870,1.039
11.880,1.073
11.890,0.960
11.900,1.181
11.910,0.983
11.920,1.221
11.930,1.175
11.940,0.997
11.950,1.129
11.960,1.165
11.970,0.985
11.980,1.089
11.990,1.224
12.000,0.956
12.010,1.085
12.020,0.906
12.030,0.936
12.040,1.006
12.050,1.006
12.060,0.880
12.070,1.136
12.080,0.917
12.090,1.061
12.100,1.062
12.110,0.934
12.120,1.136
12.130,0.952
12.140,1.139
12.150,1.014
12.160,1.242
12.170,1.034
12.180,1.293
12.190,1.047
12.200,0.841
12.210,0.950
12.220,0.946
12.230,0.867
12.240,0.881
12.250,0.971
12.260,1.039
12.270,1.009
12.280,0.980
12.290,1.023
12.300,1.053
12.310,0.974
12.320,1.026
12.330,0.973
12.340,1.097
12.350,1.046
12.360,1.002
12.370,0.949
12.380,1.129
12.390,0.941
12.400,1.066
12.410,0.923
12.420,0.857
12.430,0.951
12.440,0.976
12.450,0.934
12.460,0.925
12.470,1.078
12.480,1.065
12.490,1.002
12.500,0.939
12.510,0.847
12.520,0.952
12.530,1.082
12.540,0.807
12.550,0.969
12.560,0.856
12.570,1.117
12.580,0.862
12.590,0.946
12.600,0.989
12.610,0.959
12.620,0.970
12.630,1.044
12.640,0.821
12.650,0.832
12.660,0.886
12.670,1.201
12.680,0.977
12.690,0.873
12.700,1.159
12.710,0.972
12.720,1.106
12.730,0.824
12.740,0.826
12.750,0.870
12.760,1.125
12.770,1.058
12.780,0.828
12.790,1.030
12.800,1.023
12.810,0.957
12.820,1.273
12.830,1.050
12.840,1.110
12.850,1.043
12.860,1.028
12.870,0.982
12.880,0.996
12.890,0.798
12.900,0.928
12.910,1.157
12.920,1.146
12.930,0.911
12.940,1.038
12.950,0.904
12.960,0.969
12.970,1.069
12.980,0.968
12.990,1.005
13.000,0.991
13.010,0.935
13.020,0.969
13.030,0.975
13.040,0.869
13.050,0.891
13.060,1.098
13.070,1.087
13.080,1.005
13.090,1.128
13.100,1.166
13.110,1.082
13.120,1.019
13.130,1.009
13.140,1.038
13.150,1.137
13.160,0.901
13.170,1.050
13.180,1.002
13.190,1.113
13.200,0.850
13.210,0.935
13.220,0.988
13.230,1.074
13.240,1.174
13.250,1.039
13.260,0.977
13.270,0.995
13.280,0.954
13.290,1.048
13.300,1.029
13.310,0.910
13.320,0.991
13.330,1.092
13.340,0.989
13.350,0.937
13.360,0.954
13.370,0.910
13.380,1.211
13.390,0.952
13.400,1.098
13.410,0.918
13.420,1.082
13.430,0.958
13.440,1.051
13.450,1.023
13.460,0.898
13.470,0.915
13.480,0.915
13.490,1.128
13.500,1.103
13.510,0.972
13.520,0.966
13.530,0.916
13.540,0.967
13.550,1.075
13.560,0.924
13.570,0.944
13.580,1.004
13.590,1.080
13.600,0.872
13.610,0.911
13.620,0.948
13.630,0.820
13.640,0.997
13.650,0.955
13.660,1.000
13.670,0.915
13.680,1.049
13.690,0.983
13.700,0.818
13.710,1.089
13.720,1.095
13.730,1.022
13.740,0.973
13.750,1.037
13.760,0.926
13.770,0.718
13.780,0.816
13.790,0.813
13.800,0.978
13.810,0.967
13.820,0.947
13.830,1.026
13.840,0.861
13.850,1.198
13.860,1.041
13.870,0.920
13.880,0.995
13.890,0.905
13.900,0.968
13.910,0.988
13.920,1.217
13.930,1.086
13.940,0.951
13.950,1.085
13.960,0.986
13.970,0.991
13.980,1.078
13.990,0.952
14.000,0.746
14.010,1.069
14.020,1.039
14.030,0.934
14.040,0.792
14.050,1.117
14.060,1.145
14.070,0.802
14.080,1.100
14.090,1.024
14.100,0.843
14.110,0.965
14.120,0.957
14.130,0.948
14.140,0.834
14.150,1.041
14.160,0.901
14.170,0.999
14.180,0.922
14.190,0.948
14.200,1.012
14.210,1.051
14.220,0.837
14.230,0.845
14.240,0.992
14.250,0.943
14.260,0.924
14.270,0.946
14.280,1.051
14.290,1.042
14.300,1.120
14.310,1.097
14.320,0.996
14.330,0.996
14.340,0.783
14.350,0.961
14.360,0.865
14.370,1.020
14.380,1.008
14.390,1.089
14.400,0.949
14.410,1.011
14.420,0.897
14.430,0.780
14.440,0.707
14.450,0.747
14.460,1.076
14.470,1.078
14.480,0.953
14.490,0.995
14.500,0.831
14.510,1.087
14.520,1.020
14.530,0.834
14.540,1.014
14.550,1.059
14.560,0.788
14.570,1.030
14.580,0.976
14.590,0.954
14.600,0.922
14.610,0.901
14.620,0.996
14.630,1.002
14.640,0.691
14.650,0.864
14.660,1.010
14.670,0.963
14.680,0.974
14.690,0.976
14.700,1.041
14.710,1.047
14.720,1.056
14.730,0.878
14.740,1.012
14.750,0.956
14.760,0.950
14.770,0.963
14.780,0.757
14.790,1.045
14.800,0.897
14.810,0.772
14.820,0.861
14.830,0.904
14.840,0.904
14.850,0.956
14.860,0.912
14.870,0.962
14.880,1.052
14.890,1.039
14.900,0.889
14.910,0.928
14.920,0.871
14.930,0.944
14.940,0.959
14.950,0.843
14.960,0.869
14.970,0.842
14.980,0.806
14.990,0.873
15.000,0.867
15.010,0.878
15.020,0.980
15.030,0.847
15.040,1.034
15.050,0.925
15.060,0.921
15.070,0.934
15.080,1.110
15.090,1.157
15.100,0.907
15.110,0.832
15.120,0.997
15.130,0.866
15.140,0.789
15.150,1.245
15.160,0.751
15.170,0.987
15.180,0.929
15.190,0.873
15.200,0.913
15.210,1.037
15.220,0.991
15.230,0.855
15.240,0.844
15.250,0.885
15.260,1.001
15.270,0.884
15.280,0.833
15.290,1.071
15.300,1.076
15.310,0.739
15.320,0.829
15.330,0.874
15.340,0.785
15.350,1.164
15.360,0.703
15.370,1.153
15.380,0.882
15.390,1.016
15.400,1.001
15.410,0.891
15.420,0.731
15.430,0.886
15.440,0.913
15.450,0.934
15.460,1.075
15.470,0.816
15.480,0.820
15.490,0.796
15.500,0.888
15.510,0.909
15.520,0.896
15.530,0.997
15.540,0.944
15.550,0.930
15.560,0.804
15.570,0.694
15.580,1.108
15.590,0.943
15.600,0.956
15.610,1.016
15.620,0.839
15.630,1.012
15.640,1.077
15.650,0.923
15.660,0.988
15.670,0.837
15.680,1.048
15.690,1.026
15.700,0.798
15.710,1.008
15.720,0.872
15.730,0.843
15.740,1.036
15.750,0.980
15.760,0.993
15.770,0.975
15.780,1.033
15.790,0.744
15.800,0.833
15.810,0.897
15.820,0.821
15.830,0.812
15.840,0.690
15.850,1.078
15.860,0.948
15.870,1.015
15.880,0.807
15.890,1.080
15.900,0.848
15.910,0.856
15.920,0.811
15.930,1.061
15.940,0.850
15.950,0.816
15.960,1.149
15.970,0.765
15.980,0.927
15.990,0.902
16.000,0.907
16.010,0.798
16.020,0.803
16.030,0.920
16.040,0.915
16.050,0.805
16.060,0.869
16.070,1.017
16.080,0.923
16.090,0.793
16.100,0.759
16.110,1.019
16.120,0.916
16.130,1.089
16.140,1.058
16.150,0.893
16.160,1.053
16.170,0.910
16.180,0.864
16.190,0.859
16.200,0.883
16.210,0.922
16.220,0.908
16.230,0.970
16.240,0.944
16.250,0.911
16.260,0.820
16.270,0.904
16.280,0.830
16.290,0.896
16.300,0.778
16.310,0.739
16.320,0.889
16.330,0.688
16.340,0.921
16.350,0.895
16.360,0.829
16.370,0.843
16.380,1.001
16.390,0.861
16.400,0.805
16.410,0.791
16.420,0.658
16.430,0.991
16.440,0.858
16.450,0.756
16.460,1.002
16.470,0.890
16.480,0.848
16.490,0.849
16.500,0.723
16.510,0.937
16.520,0.933
16.530,0.831
16.540,1.085
16.550,0.993
16.560,0.878
16.570,0.831
16.580,0.894
16.590,0.971
16.600,0.895
16.610,0.813
16.620,0.850
16.630,0.776
16.640,0.916
16.650,0.784
16.660,0.886
16.670,0.870
16.680,0.709
16.690,0.952
16.700,0.725
16.710,1.108
16.720,0.699
16.730,0.836
16.740,0.927
16.750,0.875
16.760,0.846
16.770,0.772
16.780,0.872
16.790,0.816
16.800,0.784
16.810,0.943
16.820,0.784
16.830,0.954
16.840,0.973
16.850,0.865
16.860,1.052
16.870,0.861
16.880,0.770
16.890,0.735
16.900,0.831
16.910,0.823
16.920,0.892
16.930,0.721
16.940,0.801
16.950,0.910
16.960,0.887
16.970,1.034
16.980,0.962
16.990,0.935
17.000,0.733
17.010,0.784
17.020,0.728
17.030,0.770
17.040,0.846
17.050,0.853
17.060,0.774
17.070,0.799
17.080,0.814
17.090,0.796
17.100,0.926
17.110,0.665
17.120,0.925
17.130,0.918
17.140,0.846
17.150,0.575
17.160,0.962
17.170,0.837
17.180,0.948
17.190,0.883
17.200,0.757
17.210,0.692
17.220,0.761
17.230,0.684
17.240,0.658
17.250,0.762
17.260,0.860
17.270,0.689
17.280,0.774
17.290,0.905
17.300,0.669
17.310,0.764
17.320,0.800
17.330,0.707
17.340,0.647
17.350,0.695
17.360,0.836
17.370,0.868
17.380,0.980
17.390,0.758
17.400,0.835
17.410,0.871
